cut,Sum of price,color
Ideal,18171930,G
Premium,13160170,G
Ideal,12912518,F
Premium,12311428,H
Ideal,12115278,H
Ideal,10138238,E
Premium,10081319,F
Ideal,9317974,I
Very Good,8903461,G
Premium,8491146,I
Very Good,8272552,H
Premium,8270443,E
Very Good,8177367,F
Very Good,7715165,E
Ideal,7450854,D
Very Good,6328079,I
Premium,5820962,D
Very Good,5250817,D
Premium,5086030,J
Ideal,4406695,J
Good,3591553,G
Very Good,3460182,J
Good,3194260,E
Good,3177637,F
Good,3001931,H
Good,2650994,I
Good,2254363,D
Fair,1556112,H
Good,1404271,J
Fair,1331126,G
Fair,1194025,F
Fair,824838,E
Fair,819953,I
Fair,699443,D
Fair,592103,J
